reboot	перезагружать, перезагружаться
restore	восстанавливать
scroll up/down	прокручивать вверх/вниз веб-страницу
switch on/off	включать/выключать
uninstall	деинсталлировать, удалять
update	обновлять
upgrade	улучшать, модернизировать
upload	загружать, скачивать
verify	проверять
binary data	двоичные данные
commercial software	платное программное обеспечение
data	данные, информация
data processing	обработка данных
extreme programming	экстремальное программирование
firmware	прошивка, микропрограмма
freeware	бесплатное программное обеспечение
